"No","Code","Land  use","Grid","Area","Sampling year","pH","Elevation","Management"
1,"gs21","grazing and silage","NS3723","Auchincruive",1996,5.8,55,15
2,"gs22","grazing and silage","NS3723","Auchincruive",1996,6,55,12
3,"eg11","extensive grass","NY0392","Ae",1997,4.5,220,1
4,"eg12","extensive grass","NY0491","Ae",1997,5.3,230,5
5,"eg13","extensive grass","NY0491","Ae",1997,4.9,195,5
6,"eg14","extensive grass","NY0392","Ae",1997,4.4,230,1
7,"yh71","young heather","NN6386","Dalwhinnie",1996,3.8,390,3
8,"oh72","old heather","NN6386","Dalwhinnie",1996,3.8,385,1
9,"bh73","burnt heather","NN6386","Dalwhinnie",1996,3.9,390,7
10,"gr11","grass","NY0585","Ae",1997,5.6,61,8
11,"gr12","grass","NY0585","Ae",1997,5.3,62,16
12,"sp13","spring barley","NY0485","Ae",1997,6.3,62,19
13,"ww14","winter wheat","NY0485","Ae",1997,6.6,63,17
14,"gr15","grass","NY0486","Ae",1997,5.8,62,16
15,"se16","set aside-grass","NY0385","Ae",1997,7.1,70,12
16,"fd17","fodder beet","NY0385","Ae",1997,5.9,70,16
17,"he61","heather","NO6380","Glensaugh",1997,3.4,425,1
18,"gr62","grass","NO6579","Glensaugh",1997,6.5,265,7
19,"he63","heather","NO6581","Glensaugh",1997,3.6,430,1
20,"gr64","grass","NO6678","Glensaugh",1997,5.7,170,15
21,"gg65","gorse + grass","NO6678","Glensaugh",1997,4.2,170,1
22,"yc51","young conifer woodland","NN3528","Crianlarich",1995,5,165,1
23,"oc52","old conifer woodland","NN3528","Crianlarich",1995,4.9,165,4
24,"wh51","wet heather moorland","NN3826","Crianlarich",1995,4,330,1
25,"ug51","upland grassland - wet boggy flush","NN3530","Crianlarich",1995,4.6,270,1
26,"dg52","dry upland grassland","NN3530","Crianlarich",1995,4.3,270,1
27,"ig53","improved upland grassland","NN3530","Crianlarich",1995,5.2,360,4
28,"ug54","upland grassland - flush","NN3825","Crianlarich",1995,4.5,165,1
